segment_id,original_way_id,road_name,highway_type,lanes,width,maxspeed,start_lat,start_lon,end_lat,end_lon,center_lat,center_lon,num_points,coordinates_json
SEG_000128,46652614,압구정로4길,residential,,,,37.5215547,127.0213159,37.5226583,127.0196392,37.521887175,127.020361375,8,"[[127.0213159, 37.5215547], [127.0209963, 37.52139], [127.0206753, 37.5212265], [127.0202852, 37.521724], [127.0203057, 37.5217676], [127.0199801, 37.5221943], [127.0196933, 37.522582], [127.0196392, 37.5226583]]"
SEG_000129,46652615,강남대로162길,residential,,,,37.5220747,127.0209041,37.520926,127.0218101,37.5214681,127.02138395,4,"[[127.0209041, 37.5220747], [127.0213159, 37.5215547], [127.0215057, 37.521317], [127.0218101, 37.520926]]"
SEG_000130,46653271,삼성로145길,residential,,,,37.5225569,127.0468094,37.5222267,127.047726,37.52239808,127.04725063999999,5,"[[127.0468094, 37.5225569], [127.0470229, 37.5224824], [127.0471602, 37.5224307], [127.0475347, 37.5222937], [127.047726, 37.5222267]]"
SEG_000131,46653272,삼성로149길,residential,,,,37.523404,127.0473781,37.5224824,127.0470229,37.5230254,127.04727530000001,3,"[[127.0473781, 37.523404], [127.0474249, 37.5231898], [127.0470229, 37.5224824]]"
SEG_000132,46653273,이름없음,service,,,,37.5221209,127.0452199,37.5220355,127.0456827,37.522078199999996,127.0454513,2,"[[127.0452199, 37.5221209], [127.0456827, 37.5220355]]"
SEG_000133,46653274,삼성로147길,service,,,,37.521876,127.0473052,37.52189,127.046277,37.5219369,127.04682090000001,5,"[[127.0473052, 37.521876], [127.0469197, 37.5220066], [127.0468375, 37.5220219], [127.0467651, 37.52189], [127.046277, 37.52189]]"
SEG_000134,46653275,삼성로145길,service,,,,37.5220066,127.0469197,37.5224307,127.0471602,37.52221865,127.04703995,2,"[[127.0469197, 37.5220066], [127.0471602, 37.5224307]]"
SEG_000135,46653276,도산대로78길,residential,,,,37.5225569,127.0468094,37.5210317,127.0462394,37.52184898,127.04640892,5,"[[127.0468094, 37.5225569], [127.0462595, 37.5222911], [127.046277, 37.52189], [127.0464593, 37.5214752], [127.0462394, 37.5210317]]"
SEG_000136,46653277,도산대로72길,residential,,,,37.5239241,127.0456101,37.5224729,127.0460114,37.523251,127.04567258571429,7,"[[127.0456101, 37.5239241], [127.0456386, 37.5236408], [127.0456171, 37.5234813], [127.0455473, 37.5233195], [127.0455887, 37.5231774], [127.0456949, 37.522741], [127.0460114, 37.5224729]]"
SEG_000137,46653278,삼성로149길,service,,,,37.5228943,127.0468345,37.5232609,127.0462542,37.523015199999996,127.04647875999999,5,"[[127.0468345, 37.5228943], [127.0465549, 37.5230111], [127.0464388, 37.5229077], [127.0463114, 37.523002], [127.0462542, 37.5232609]]"
SEG_000138,46653279,도산대로78길,residential,,,,37.524092,127.0469673,37.5225569,127.0468094,37.52316241666667,127.0469301,6,"[[127.0469673, 37.524092], [127.0471237, 37.5233748], [127.0470773, 37.5232608], [127.0468345, 37.5228943], [127.0467684, 37.5227957], [127.0468094, 37.5225569]]"
SEG_000139,46653280,이름없음,service,,,,37.5240115,127.0463166,37.5232818,127.0464213,37.52364665,127.04636895,2,"[[127.0463166, 37.5240115], [127.0464213, 37.5232818]]"
SEG_000140,46653281,학동로67길,residential,,,,37.5182287,127.0464207,37.5205661,127.0465566,37.51942097,127.04665133,10,"[[127.0464207, 37.5182287], [127.0466004, 37.5189333], [127.0466175, 37.5189898], [127.0466691, 37.5191733], [127.0466939, 37.5192353], [127.0467145, 37.5193049], [127.0468187, 37.5196645], [127.0468167, 37.5197116], [127.0466052, 37.5204022], [127.0465566, 37.5205661]]"
SEG_000141,46653282,도산대로72길,residential,,,,37.5224729,127.0460114,37.5209885,127.0459473,37.52185144,127.04581594000001,5,"[[127.0460114, 37.5224729], [127.0456501, 37.5221931], [127.0456827, 37.5220355], [127.0457882, 37.5215672], [127.0459473, 37.5209885]]"
SEG_000142,46653283,학동로59길,service,,,,37.5203642,127.0436855,37.520186,127.0446758,37.520275100000006,127.04418064999999,2,"[[127.0436855, 37.5203642], [127.0446758, 37.520186]]"
SEG_000143,46653284,학동로59길,service,,,,37.5199707,127.0435805,37.5198023,127.0445648,37.5198865,127.04407265,2,"[[127.0435805, 37.5199707], [127.0445648, 37.5198023]]"
SEG_000144,46653285,학동로59길,service,,,,37.5195759,127.04347,37.519407,127.0444614,37.519491450000004,127.0439657,2,"[[127.04347, 37.5195759], [127.0444614, 37.519407]]"
SEG_000145,46653291,삼성로147길,residential,,,,37.5205661,127.0465566,37.5205835,127.0437536,37.52048283333333,127.04537695555557,9,"[[127.0465566, 37.5205661], [127.0464692, 37.5205496], [127.0460395, 37.5204905], [127.045657, 37.5204236], [127.0455996, 37.5204137], [127.0453893, 37.5204066], [127.0447387, 37.5204084], [127.0441891, 37.5205035], [127.0437536, 37.5205835]]"
SEG_000146,46653292,이름없음,service,,,,37.5210317,127.0462394,37.5209027,127.0448748,37.5209347,127.04553102,5,"[[127.0462394, 37.5210317], [127.0459473, 37.5209885], [127.0453828, 37.520887], [127.0452108, 37.5208636], [127.0448748, 37.5209027]]"
SEG_000147,46653293,도산대로70길,residential,,,,37.5231303,127.045183,37.5204084,127.0447387,37.5217719625,127.04505045,8,"[[127.045183, 37.5231303], [127.045211, 37.5229327], [127.0453007, 37.5224206], [127.0452199, 37.5221209], [127.0450072, 37.5213814], [127.0448748, 37.5209027], [127.0448683, 37.5208787], [127.0447387, 37.5204084]]"
