node_id,lat,lon,type,name,crossing
414684250,37.4736968,127.0385593,traffic_signals,영동1교남단,
414684314,37.4847851,127.0580247,traffic_signals,개포고교,
414684605,37.5034452,127.0211197,traffic_signals,서초삼호아파트,
414684613,37.5044062,127.0880599,traffic_signals,삼전사거리,
414684614,37.5044992,127.0246034,traffic_signals,교보타워사거리,
436813702,37.4819378,127.0615159,traffic_signals,,
436814246,37.4793483,127.0507189,traffic_signals,,
436814266,37.481848,127.0548088,traffic_signals,,
436814276,37.4834926,127.0570421,traffic_signals,,
436823575,37.5363703,127.0604062,crossing,,
436839042,37.5324164,127.0853111,traffic_signals,잠실대교북단,
436862086,37.5005574,127.0508808,traffic_signals,도성초교사거리,
571449373,37.4984882,127.0234914,crossing,,uncontrolled
595750358,37.5130567,127.0534003,traffic_signals,,
595750359,37.5130285,127.0532647,traffic_signals,,
596137575,37.5234254,127.0391725,crossing,,uncontrolled
600371993,37.5349314,127.0602418,crossing,,marked
601728853,37.5394152,127.062268,crossing,,marked
732030789,37.4833771,127.0242354,crossing,,
732032659,37.5221082,127.0226964,traffic_signals,,
732439651,37.5043109,127.0879937,traffic_signals,삼전사거리,
733125894,37.5323466,127.0855466,crossing,,traffic_signals
733125897,37.533498,127.084851,crossing,,traffic_signals
734690551,37.5010101,127.0854402,crossing,,traffic_signals
734690562,37.5013114,127.0846072,crossing,,traffic_signals
765257891,37.4961594,127.0989314,crossing,,traffic_signals
845976022,37.5023825,127.0969765,traffic_signals,,
845976104,37.4887306,127.0818428,traffic_signals,삼성서울병원사거리,
875533155,37.5102562,127.0581011,traffic_signals,공항타워건널목,
927733714,37.4708288,127.0431864,traffic_signals,,
997780458,37.5353079,127.0683946,traffic_signals,,
997781255,37.5324785,127.0854452,traffic_signals,잠실대교북단,
997781314,37.5352596,127.068566,traffic_signals,,
1019336020,37.5393668,127.0984694,traffic_signals,,
1326472596,37.5231716,127.0382648,crossing,,
1694782585,37.4798659,127.0410708,traffic_signals,,
1694783013,37.4824742,127.0359831,crossing,,traffic_signals
1853555166,37.5234865,127.0224692,traffic_signals,,
1878032450,37.4793556,127.026422,traffic_signals,,
1906684722,37.4966329,127.0881771,crossing,,zebra
1925498403,37.4718644,127.0454708,traffic_signals,,
1925498798,37.4754089,127.0414176,traffic_signals,,
1925498920,37.4770281,127.0428191,traffic_signals,,
1940826114,37.4788166,127.0475145,traffic_signals,,
2244637661,37.5200102,127.0282882,crossing,,
2280678860,37.5110085,127.021215,traffic_signals,,
2280678861,37.5110812,127.0214351,traffic_signals,,
2280678864,37.513054,127.0203099,crossing,,
2281095539,37.5044485,127.0244281,traffic_signals,교보타워사거리,
2655442270,37.4839443,127.0286401,crossing,,
2861603613,37.5183966,127.0233084,traffic_signals,,
2863416043,37.4717244,127.0450871,traffic_signals,,
3011682727,37.4758425,127.0465489,traffic_signals,,
3011692180,37.4842954,127.0519542,crossing,,
3011699118,37.4823359,127.0554824,traffic_signals,,
3054698233,37.501057,127.0262967,crossing,,traffic_signals
3054698333,37.5009804,127.0260403,crossing,,traffic_signals
3054785344,37.5034935,127.021282,crossing,,
3054787036,37.5035989,127.0210415,crossing,,
3087637699,37.4781105,127.0385073,traffic_signals,교육개발원입구,
3087637714,37.4822024,127.0366348,crossing,,traffic_signals
3087637715,37.4821236,127.0365162,crossing,,traffic_signals
3146844229,37.5016386,127.0260358,crossing,,traffic_signals
3146844230,37.5015446,127.0257598,crossing,,traffic_signals
3240699901,37.50754,127.09075,traffic_signals,잠실학원사거리,
3488653599,37.4713595,127.0512487,traffic_signals,구룡사앞,
3488653629,37.4888106,127.0818063,traffic_signals,,
3488653635,37.490633,127.0883533,traffic_signals,,
3559113785,37.4789853,127.0491231,traffic_signals,,
3560211093,37.4823163,127.0610377,crossing,,zebra
3560214268,37.4751447,127.0509055,crossing,,zebra
3560214269,37.4753658,127.0508488,crossing,,zebra
3560214270,37.4750679,127.0511873,crossing,,zebra
3624333670,37.5242847,127.0463568,crossing,,
3630343768,37.4715589,127.0510374,traffic_signals,구룡사앞,
3630343780,37.4737552,127.0487917,traffic_signals,국악고교앞,
3690640327,37.4861768,127.0293102,crossing,,marked
3693412477,37.4712537,127.0510934,traffic_signals,구룡사앞,
3693412478,37.4714637,127.0508835,traffic_signals,구룡사앞,
3693412480,37.4736797,127.048675,traffic_signals,국악고교앞,
3693412481,37.4757735,127.0464446,traffic_signals,,
3693412483,37.4782093,127.0445122,traffic_signals,,
3693412485,37.4782831,127.0446487,traffic_signals,,
3693412486,37.4791065,127.0442,traffic_signals,,
3734588281,37.5047615,127.0489011,crossing,,
3785495802,37.5388084,127.057759,crossing,,uncontrolled
3827169471,37.4848466,127.0374929,crossing,,
3827169473,37.4848453,127.0349624,crossing,,marked
3827169478,37.484902,127.0379422,crossing,,
3827169480,37.4849568,127.0382178,crossing,,
3827169922,37.4863045,127.0411282,crossing,,marked
3827169952,37.4866021,127.0332685,crossing,,marked
3827170678,37.4896587,127.0413154,crossing,,marked
3827170709,37.4913591,127.0380163,crossing,,marked
3827258701,37.4906499,127.0223779,crossing,,marked
3828439667,37.4887264,127.0986402,crossing,,zebra
3828439683,37.4893112,127.0987571,crossing,,zebra
3828439690,37.4896662,127.09861,crossing,,zebra
3828439696,37.4900366,127.0983578,crossing,,zebra
3828439704,37.4904933,127.0979901,crossing,,zebra
3828439711,37.490697,127.0976642,crossing,,zebra
3828439716,37.4908074,127.0970694,crossing,,zebra
3846729629,37.5394554,127.0577749,crossing,,uncontrolled
3975338425,37.5155692,127.0698924,crossing,,marked
3996935782,37.5366724,127.0833487,crossing,,traffic_signals
3996935884,37.5396147,127.0830688,crossing,,
3996936103,37.538434,127.0835321,crossing,,
3996936105,37.5391544,127.0831142,crossing,,
3996936106,37.5378005,127.0832477,crossing,,
3996936173,37.537406,127.0836147,crossing,,
3996936174,37.5366435,127.0837797,traffic_signals,,
3996936567,37.5395286,127.083364,crossing,,
4178882182,37.539172,127.0982664,traffic_signals,,
4646498111,37.5099521,127.0662999,crossing,,
4646498112,37.5097178,127.066386,crossing,,
4659769642,37.506787,127.0560267,crossing,,
4659803357,37.5092098,127.0633786,crossing,,
4677458022,37.5114623,127.0703957,crossing,,unmarked
4865811294,37.4737104,127.0387794,traffic_signals,,
