way_id,name,highway,lanes,width,maxspeed,oneway,surface,num_points,start_lat,start_lon,end_lat,end_lon
417377384,둘레9가길,residential,,,,no,,3,37.5367025,127.0500873,37.5363915,127.0497825
417377385,둘레13길,residential,,,,no,,7,37.5358348,127.0518333,37.5362647,127.053701
417377386,둘레11길,residential,,,,no,,5,37.5369191,127.0523702,37.536296,127.0526234
417377387,성수이로5길,residential,,,,no,,7,37.5362485,127.0537573,37.5375802,127.0530854
417377389,성수이로5길,residential,,,,no,,5,37.5369682,127.0534433,37.5372073,127.0537944
417377390,성덕정길,residential,,,,no,,3,37.5377163,127.0534901,37.5370455,127.0537193
417377391,성수이로5길,residential,,,,no,,3,37.5370593,127.0537685,37.5369027,127.0540527
417377392,성덕정15길,residential,,,,no,,4,37.53766,127.0538,37.5391709,127.0537967
417377393,성덕정15길,residential,,,,no,,3,37.5385873,127.0540857,37.5379966,127.0540932
417377394,성덕정13길,residential,,,,no,,4,37.5383656,127.0533743,37.5377434,127.0533413
417377396,성덕정15길,residential,,,,no,,4,37.5383203,127.0533719,37.5383095,127.0544856
417377398,성덕정15길,residential,,,,no,,5,37.5380152,127.0533557,37.5379868,127.054506
417377401,성수이로,residential,,,,no,,3,37.5387024,127.054475,37.5382722,127.0546296
417377402,성덕정길,residential,,,,no,,3,37.538208,127.0520951,37.5384454,127.0526069
417377403,성덕정길,residential,,,,no,,3,37.5378055,127.0529996,37.5383418,127.0529408
417377405,성덕정13길,residential,,,,no,,4,37.5383656,127.0533743,37.5390861,127.0533994
417377406,성덕정11길,residential,,,,no,,2,37.5389619,127.0531403,37.538351,127.053186
417377407,성덕정3길,residential,,,,no,,5,37.5389859,127.0472834,37.5406429,127.0480796
417377409,성덕정5길,residential,,,,no,,5,37.5386491,127.0483496,37.5403242,127.0492221
417377410,성덕정1길,residential,,,,no,,4,37.5393768,127.0459221,37.5410904,127.0466337
417377411,둘레5길,residential,,,,no,,9,37.5369979,127.0476261,37.5386028,127.0484935
417377413,둘레3길,residential,,,,no,,6,37.5372677,127.0466669,37.5389859,127.0472834
417377414,둘레1길,residential,,,,no,,4,37.5376257,127.045515,37.5392085,127.0464912
417377418,둘레5길,residential,,,,no,,2,37.5376848,127.0489928,37.5380084,127.0481346
417377420,둘레3나길,residential,,,,no,,12,37.5378985,127.0480621,37.538205,127.0469627
417377423,둘레1길,residential,,,,no,,3,37.538098,127.0469207,37.5384694,127.0460155
417377425,성덕정7길,residential,,,,no,,3,37.5393361,127.0493563,37.5384751,127.048891
417377427,성덕정7길,residential,,,,no,,2,37.539133,127.0496449,37.5383638,127.0492306
417377428,성덕정7길,residential,,,,no,,3,37.5390902,127.0498307,37.539247,127.0493081
417377430,성덕정3가길,residential,,,,no,,3,37.5399066,127.0476702,37.5394773,127.0487534
417377432,성덕정길,residential,,,,no,,3,37.5398363,127.047643,37.5398716,127.0466148
417377450,성덕정9가길,residential,,,,no,,5,37.5391597,127.0510619,37.5397162,127.0516805
417407344,강남대로154길,residential,,,,no,,3,37.5175624,127.0200297,37.518608,127.022542
417407348,이름없음,residential,,,,no,,4,37.5191235,127.0249384,37.5193887,127.0253398
417407350,도산대로19길,residential,,,,no,,5,37.5193887,127.0253398,37.5187436,127.0256242
417407352,도산대로19길,service,,,,no,,8,37.5204958,127.0251334,37.5212121,127.0245173
417407354,논현로155길,service,,,,no,,4,37.5211212,127.0252796,37.5208188,127.0250362
417416324,선릉로162길,residential,,,,no,,8,37.525962,127.045131,37.5271441,127.0404799
417416329,압구정로71길,residential,,,20,no,,4,37.5266603,127.0454306,37.5273087,127.0456993
417420095,언주로152길,residential,,,,yes,,6,37.5225846,127.0341199,37.5230382,127.035541
417420098,도산대로45길,residential,,,,no,,4,37.5235898,127.0372798,37.5230382,127.035541
417420101,도산대로51길,residential,,,,no,,3,37.5247846,127.0378548,37.5238116,127.0379628
417420103,선릉로153길,residential,,,,no,,2,37.5247416,127.0371613,37.5246822,127.0362103
417420109,선릉로161길,residential,,,,no,,3,37.5271271,127.03952,37.5269393,127.0404047
417420112,압구정로56길,service,,,,no,,3,37.5258608,127.0395498,37.5270256,127.03998
417420115,압구정로50길,service,,,,no,,3,37.5275912,127.0396885,37.5279395,127.0382161
417420118,선릉로161길,residential,,,,no,,8,37.5272705,127.0395719,37.5279303,127.0366408
417420121,압구정로48길,residential,,,,yes,,6,37.525828,127.0370102,37.5278929,127.0367909
417420124,언주로170길,residential,,,,yes,,8,37.5264326,127.0369323,37.5271683,127.0335892
417420128,선릉로155길,residential,,,,no,,7,37.525828,127.0370102,37.5252228,127.039793
417420131,도산대로49길,residential,,,,no,,9,37.525828,127.0370102,37.5226994,127.0373918
417420141,선릉로157길,service,,,,no,,2,37.5261484,127.0382468,37.5268794,127.0385013
417420142,선릉로161길,service,,,,no,,2,37.5268794,127.0385013,37.5274564,127.0387018
417420148,압구정로46길,residential,,,,no,,12,37.5282588,127.0367436,37.5234458,127.0367966
417420151,압구정로46길,residential,,,,no,,3,37.5282588,127.0367436,37.5287343,127.0369198
417430591,언주로173길,residential,,,,no,,3,37.5276785,127.030746,37.5281443,127.0325627
417434585,언주로171길,residential,,,,no,,3,37.52765,127.0315969,37.5275682,127.0334674
417434586,언주로167길,residential,,,,no,,2,37.5265399,127.0292517,37.5265081,127.0299628
417434587,언주로165길,residential,,,,no,,5,37.5258396,127.0314705,37.5258692,127.0332536
417434588,이름없음,service,,,,no,,3,37.5264089,127.0326246,37.5258578,127.0325646
417434589,언주로165길,residential,,,,no,,3,37.5258578,127.0325646,37.5244128,127.0322069
417434590,언주로159길,residential,,,,no,,10,37.5244924,127.0290892,37.5243755,127.0330618
417434591,언주로153길,residential,,,,no,,3,37.5238988,127.0321676,37.5227284,127.0323848
417434592,논현로168길,service,,,,no,,4,37.5232081,127.031429,37.5233024,127.0322807
417434593,도산대로37길,residential,,,,no,,11,37.5232081,127.031429,37.5209162,127.0317299
417434594,언주로151길,residential,,,,no,,2,37.5216943,127.0313266,37.5223554,127.0334082
417434595,논현로154길,service,,,,no,,3,37.5213708,127.0282653,37.5218537,127.0297917
417434596,논현로160길,service,,,,no,,4,37.5226724,127.0289852,37.5225779,127.0313926
417434597,논현로164길,residential,,,,no,,2,37.5226396,127.0297174,37.523421,127.0297414
417434598,언주로157길,residential,,,,no,,6,37.5239729,127.0305308,37.5238988,127.0321676
417434599,도산대로37길,residential,,,,no,,3,37.5232081,127.031429,37.523928,127.0314625
417434602,언주로165길,service,,,,no,,2,37.5244223,127.0319714,37.5258486,127.0320288
417434604,논현로172길,service,,,,no,,2,37.5254635,127.030927,37.524448,127.0308787
417437658,삼성로134길,residential,,,,no,,3,37.5206802,127.0510038,37.5199777,127.0496856
417437659,삼성로140길,residential,,,,no,,2,37.5212184,127.0499241,37.5214577,127.0497995
417437660,도산대로92길,residential,,,,no,,7,37.5214577,127.0497995,37.522962,127.0494815
417437661,삼성로144길,service,,,,no,,5,37.5224826,127.0492574,37.5219488,127.0486417
417437662,도산대로96길,service,,,,no,,6,37.5226989,127.0499283,37.521699,127.0504624
417437663,학동로87길,residential,,,,no,,2,37.521699,127.0504624,37.5206802,127.0510038
417439635,도산대로100길,residential,,,,no,,5,37.5231486,127.0522925,37.5225251,127.0509366
417439640,도산대로100길,service,,,,no,,2,37.5235726,127.0520761,37.5237859,127.0527118
417439645,이름없음,service,,,,no,,3,37.5233742,127.0514987,37.5235726,127.0520761
417442000,이름없음,service,,,,no,,2,37.5247481,127.0451001,37.5240028,127.0452328
417442002,선릉로148길,residential,,,,no,,12,37.5230928,127.0448043,37.5225331,127.0402675
417442005,삼성로147길,residential,,,,no,,9,37.5205661,127.0465566,37.5230092,127.0479442
417442007,학동로77길,residential,,,,no,,13,37.5187246,127.0491679,37.5222267,127.047726
417442010,삼성로145길,residential,,,,no,,2,37.5222267,127.047726,37.5224192,127.048269
417442012,삼성로141길,residential,,,,no,,3,37.5210474,127.0473828,37.5215228,127.0487626
417442014,학동로59길,residential,,,,no,,9,37.5204084,127.0447387,37.5185171,127.0442398
417442016,선릉로138길,service,,,,no,,2,37.5194221,127.0410066,37.5187752,127.0412233
417622683,선릉로145길,service,,,,no,,3,37.5215465,127.0391552,37.5202755,127.0396161
417622688,선릉로141길,service,,,,no,,3,37.5202945,127.0396938,37.5192048,127.0401045
417622691,이름없음,service,,,,no,,2,37.5197524,127.0399032,37.5198446,127.0403194
417622693,이름없음,service,,,,no,,2,37.5208925,127.0393966,37.5209927,127.0398921
417622695,선릉로137길,residential,,,,no,,8,37.5186819,127.0378701,37.5192958,127.0405147
417622699,학동로43길,residential,,,,no,,8,37.5186819,127.0378701,37.5160423,127.0371861
417622702,선릉로135길,service,,,,no,,2,37.5181814,127.0377342,37.5183062,127.0383487
417622704,선릉로135길,residential,,,,no,,8,37.5183062,127.0383487,37.5188336,127.0406941
417622707,언주로136길,residential,,,,no,,2,37.5175786,127.0375661,37.5178091,127.0385456
417622709,선릉로133길,residential,,,,no,,7,37.5178091,127.0385456,37.5183659,127.0408711
417622711,언주로134길,residential,,,,no,,3,37.5172348,127.0387531,37.5168799,127.0374062
417622714,선릉로135길,service,,,,no,,2,37.5191907,127.0400446,37.5187168,127.0402233
417622716,학동로53길,service,,,,no,,2,37.5168467,127.0389004,37.5172787,127.0403313
417622718,학동로45길,residential,,,,no,,3,37.5169737,127.0378853,37.5163478,127.0381764
417622722,학동로45길,service,,,,no,,2,37.5164654,127.0372858,37.5166759,127.0380278
417622724,학동로47길,service,,,,no,,2,37.517263,127.0374947,37.5175231,127.0386501
417622726,선릉로131길,service,,,,no,,2,37.5179034,127.0389347,37.517352,127.0391387
417622728,선릉로131길,service,,,,no,,2,37.5179829,127.039285,37.5174529,127.0394784
417622730,선릉로131길,service,,,,no,,2,37.5180661,127.0396213,37.51756,127.0398295
417622733,선릉로135길,service,,,,no,,2,37.5179829,127.039285,37.5184607,127.0391082
417622735,선릉로135길,service,,,,no,,2,37.5179034,127.0389347,37.5183848,127.038768
417622738,선릉로135길,service,,,,no,,2,37.5180661,127.0396213,37.5185418,127.0394543
417622743,선릉로135길,service,,,,no,,2,37.5184607,127.0391082,37.5189323,127.0389401
417622745,선릉로135길,service,,,,no,,2,37.5185418,127.0394543,37.5190252,127.0393034
417622748,이름없음,service,,,,no,,2,37.5191271,127.0384477,37.5193989,127.0383414
417622752,선릉로137길,residential,,,,no,,2,37.5189323,127.0389401,37.5194969,127.0387633
417622753,선릉로137길,service,,,,no,,2,37.5190252,127.0393034,37.5195778,127.039089
417622756,언주로136길,service,,,,no,,4,37.5185859,127.0373337,37.5175614,127.037044
417622758,학동로41길,residential,,,,no,,7,37.5166612,127.03627,37.5183696,127.036245
417622760,학동로41길,service,,,,no,,4,37.5181837,127.0362648,37.5181287,127.0372164
417622762,언주로138길,service,,,,no,,7,37.5178284,127.035453,37.5181838,127.0368862
417622765,언주로136길,service,,,,no,,2,37.5178404,127.0359266,37.5171995,127.0359192
417622767,학동로41길,service,,,,no,,3,37.5175939,127.0362925,37.5175614,127.037044
417622769,언주로134길,residential,,,,no,,2,37.517392,127.0367693,37.5167235,127.0366051
417622771,언주로148길,service,,,,no,,2,37.5212591,127.0357348,37.5206962,127.0360147
417622773,언주로148길,service,,,,no,,2,37.5204469,127.0351594,37.5198732,127.0354396
417627646,논현로150길,residential,,,,no,,8,37.5201056,127.0321312,37.5188614,127.028405
417627648,언주로147길,residential,,,,no,,9,37.5201906,127.0343467,37.5187538,127.0298064
417627650,도산대로30길,service,,,,no,,4,37.518478,127.0299574,37.5188855,127.0312745
417627651,논현로150길,service,,,,no,,3,37.51991,127.0315106,37.5193627,127.0317764
417627652,언주로147길,service,,,,no,,3,37.5193627,127.0317764,37.5188122,127.0320453
417627654,도산대로34길,service,,,,no,,2,37.5188484,127.0312922,37.5190506,127.0319409
417627655,도산대로30길,service,,,,no,,3,37.5179463,127.0302827,37.5183455,127.0315526
417627657,도산대로30길,service,,,,no,,3,37.5177584,127.0303924,37.5180279,127.031609
417627664,도산대로34길,residential,,,,no,,14,37.5178331,127.0316186,37.5205064,127.0304339
417627665,논현로142길,residential,,,,no,,5,37.5178702,127.033005,37.5178331,127.0316186
417627667,도산대로30길,service,,,,no,,6,37.5171753,127.0307288,37.5160125,127.0308632
417627668,도산대로30길,residential,,,,no,,15,37.5192172,127.0294234,37.5171753,127.0307288
417627671,도산대로38길,service,,,,no,,3,37.5167012,127.0330404,37.5183918,127.0329943
417627673,언주로135길,residential,,,,no,,4,37.5164479,127.0321978,37.5167012,127.0330404
417635409,강남대로146길,residential,,,,yes,,4,37.5152239,127.0225744,37.5149332,127.0215759
417635410,논현로145길,residential,,,,yes,,11,37.5169727,127.0261097,37.5155573,127.0236483
417635412,논현로139길,residential,,,,yes,,7,37.5148243,127.0255784,37.5161268,127.0271888
417635414,강남대로136길,residential,,,,yes,,11,37.5144952,127.0257364,37.5128968,127.0218864
417635415,강남대로136길,residential,,,,no,asphalt,6,37.5128505,127.0206217,37.5128968,127.0218864
417635416,학동로1길,residential,,,,yes,,4,37.5128968,127.0218864,37.5122169,127.0217788
417635417,논현로131길,residential,,,,yes,,8,37.5134495,127.0262447,37.5140474,127.0282807
417635420,학동로4길,residential,,,,no,,6,37.5116071,127.0227501,37.5090645,127.0239563
417635421,학동로12길,residential,,,,yes,,8,37.5122095,127.0252212,37.509878,127.0279398
417635422,학동로9길,service,,,,no,,2,37.5143931,127.0235386,37.513903,127.0237651
417635423,학동로17길,residential,,,,no,,8,37.5128497,127.0268366,37.5148243,127.0255784
417635427,학동로,service,,,,no,,3,37.5132719,127.0256431,37.5125789,127.0259709
417635429,학동로11길,residential,,,,no,,3,37.513588,127.0245708,37.5140064,127.0259755
417635431,이름없음,service,,,,no,,2,37.5143138,127.0251125,37.5138297,127.0253596
417636975,강남대로91길,residential,,,,no,,4,37.5122188,127.0191068,37.51216,127.0206655
417638563,삼성로112길,residential,,,,no,,8,37.5165338,127.0541955,37.5140525,127.0528587
417638566,삼성로116길,residential,,,,no,,3,37.5148844,127.053317,37.5150743,127.0523115
